agency,location,project_title,year,project_link,award_status,file_type,latitude,longitude,formatted_address,place_id,types,street_number,route,locality,sublocality,administrative_area_level_1,administrative_area_level_2,country,postal_code
Abington Police Department,"Pennsylvania, USA",Abington Citizens Police Academy,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-01.pdf,Submission,pdf,40.1198332,-75.1253492,"Abington, PA, USA",ChIJUb0uvFywxokRwg7H2Q7Qt-I,"locality,political",,,Abington,,Pennsylvania,Montgomery County,United States,
Abington Police Department,"Pennsylvania, USA","Prescription Fraud Enforcement Program,",1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-02.pdf,Submission,pdf,40.1198332,-75.1253492,"Abington, PA, USA",ChIJUb0uvFywxokRwg7H2Q7Qt-I,"locality,political",,,Abington,,Pennsylvania,Montgomery County,United States,
Abington Police Department,"Pennsylvania, USA",Crestmont Community Policing,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-03.pdf,Submission,pdf,40.1198332,-75.1253492,"Abington, PA, USA",ChIJUb0uvFywxokRwg7H2Q7Qt-I,"locality,political",,,Abington,,Pennsylvania,Montgomery County,United States,
Albemarle County Police Department,"Virginia, USA",Using Community Education to Reduce Larcenies from Unlocked Vehicles,2019,https://popcenter.asu.edu/sites/default/files/19-01_albemarle_va_larcenies_from_vehicles.pdf,Submission,pdf,38.0049875,-78.5172104,"Albemarle County Office Building, 1600 5th St, Charlottesville, VA 22902, USA",ChIJCSn1gtWFs4kRzxFbFunNeqU,"establishment,point_of_interest,police",1600,5th Street,Charlottesville,,Virginia,Albemarle County,United States,22902
Albuquerque Police Department,"New Mexico, USA",To Catch a Thief:Utilizing Bait Technology at the Albuquerque Police Department,2013,https://popcenter.asu.edu/sites/default/files/13-35_albuquerque_pd.pdf,Submission,pdf,35.0843859,-106.650422,"Albuquerque, NM, USA",ChIJe4MJ090KIocR_fbZuM7408A,"locality,political",,,Albuquerque,,New Mexico,Bernalillo County,United States,
Alexandria Police Department,"Virginia, USA",Moped Registration Project,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-48(F).pdf,Submission,pdf,38.8048355,-77.0469214,"Alexandria, VA, USA",ChIJ8aukkz5NtokRLAHB24Ym9dc,"locality,political",,,Alexandria,,Virginia,,United States,
Alexandria Police Department,"Virginia, USA",Alexandria Alcohol Interdiction Program,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-04(F).pdf,Honorable Mention,pdf,38.8048355,-77.0469214,"Alexandria, VA, USA",ChIJ8aukkz5NtokRLAHB24Ym9dc,"locality,political",,,Alexandria,,Virginia,,United States,
Altamonte Springs Police Department,"Florida, USA","Repeat Adolescent Delinquency Abatement Responsibility project, RADAR",1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-01.pdf,Submission,pdf,28.6641896,-81.3593058,"175 Newburyport Ave, Altamonte Springs, FL 32701, USA",ChIJj0E3cu1x54gRwVj9r6nvbwo,"establishment,point_of_interest,police",175,Newburyport Avenue,Altamonte Springs,,Florida,Seminole County,United States,32701
Altamonte Springs Police Department,"Florida, USA","Repeat Adolescent Delinquency Abatement Responsibility project, RADAR",1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-01.pdf,Submission,pdf,28.6641896,-81.3593058,"175 Newburyport Ave, Altamonte Springs, FL 32701, USA",ChIJj0E3cu1x54gRwVj9r6nvbwo,"establishment,point_of_interest,police",175,Newburyport Avenue,Altamonte Springs,,Florida,Seminole County,United States,32701
Anaheim Police Department,"California, USA",Beach Boulevard Prostitution  Addressing Human Trafficking in Anaheim:A New Approach to the Oldest Profession,2012,https://popcenter.asu.edu/sites/default/files/12-06f_anaheim.pdf,Submission,pdf,33.830436,-117.9186154,"425 S Harbor Blvd, Anaheim, CA 92805, USA",ChIJcaKhxdfX3IARAf0_JhwAS6g,"establishment,point_of_interest,police",425,South Harbor Boulevard,Anaheim,,California,Orange County,United States,92805
